Reported outcome;Response time;Exclusion;TP;The ratio between the dice roll and the possible reward is...;What is the chance that you will get the reward?;My dice role was fully anonymous-only I could know what I rolled.;Several students will receive a monetary reward for the dice under cup game.;Gender;Age;Native language dutch;Native language other;Nationality dutch;Nationality other;Education
1;3,972;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Do not believe;1;19;;1;;1;2
6;2,92;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Strongly do not believe;2;22;;1;;1;2
3;4,267;0;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Believe;1;19;;1;;1;2
1;7,159;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Neutral;1;18;;1;;1;2
6;6,079;0;1;The reward (in euro) is two times the outcome of the dice roll.;4;Strongly believe;Strongly do not believe;1;19;1;1;1;;2
6;4,746;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Do not believe;1;19;1;;1;;3
6;4,852;0;1;The reward (in euro) is two times the outcome of the dice roll.;3;Strongly believe;Neutral;1;24;;1;;1;5
4;5,191;0;1;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly believe;2;22;;1;;1;3
1;4,076;0;1;The reward (in euro) is equal to the outcome of the dice roll.;25;Strongly believe;Do not believe;1;20;;1;;1;2
5;8,12;1;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Neutral;2;19;;1;;1;3
5;3,575;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Strongly believe;2;19;;1;;1;2
5;8,305;1;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Strongly believe;1;24;;1;;1;2
1;4,828;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Neutral;Believe;1;19;;1;;1;2
3;5,061;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Do not believe;Strongly do not believe;1;18;;1;;1;2
1;1,711;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Believe;2;18;1;1;;1;2
3;31,071;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Strongly do not believe;1;20;;1;;1;2
5;8,783;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Do not believe;1;19;1;;1;;2
3;10,288;0;0;The reward (in euro) is two times the outcome of the dice roll.;19;Strongly believe;Neutral;1;22;;1;;1;2
6;9,603;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Neutral;1;20;;1;;1;2
3;5,201;0;1;The reward (in euro) is two times the outcome of the dice roll.;3;Strongly believe;Believe;1;19;1;;1;;2
6;4,122;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Neutral;1;19;;1;;1;2
2;3,78;0;1;The reward (in euro) is two times the outcome of the dice roll.;30;Believe;Do not believe;2;19;1;1;1;1;2
4;8,239;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Neutral;2;19;1;;1;;2
6;4,462;0;1;The reward (in euro) is two times the outcome of the dice roll.;3;Strongly believe;Believe;2;22;;1;;1;2
6;10,695;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Neutral;1;19;1;;1;;2
4;15,221;0;0;The reward (in euro) is equal to the outcome of the dice roll.;40;Believe;Neutral;1;19;;1;;1;2
2;4,766;0;1;The reward (in euro) is equal to the outcome of the dice roll.;15;Strongly do not believe;Strongly do not believe;1;18;;1;;1;2
6;16,687;1;1;The reward (in euro) is four times the outcome of the dice roll.;80;Neutral;Do not believe;1;19;;1;;1;2
2;2,556;0;1;The reward (in euro) is two times the outcome of the dice roll.;15;Neutral;Believe;1;19;;1;;1;2
6;7,904;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Do not believe;2;21;1;;1;;4
6;6,126;0;0;The reward (in euro) is equal to the outcome of the dice roll.;5;Strongly believe;Strongly do not believe;1;21;;1;;1;2
4;6,975;0;1;The reward (in euro) is equal to the outcome of the dice roll.;10;Strongly believe;Neutral;1;19;;1;;1;2
4;4,32;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Do not believe;Believe;1;19;;1;;1;2
3;4,631;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Believe;1;20;1;;1;;2
4;5,964;0;0;The reward (in euro) is two times the outcome of the dice roll.;3;Strongly believe;Do not believe;1;18;;1;;1;2
6;8,372;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Strongly believe;Strongly believe;2;21;;1;;1;3
4;4,89;0;1;The reward (in euro) is two times the outcome of the dice roll.;15;Believe;Believe;1;18;;1;;1;2
6;7,862;0;1;The reward (in euro) is two times the outcome of the dice roll.;11;Believe;Strongly do not believe;1;19;;1;;1;2
3;5,111;0;1;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly do not believe;Believe;1;21;1;;1;;2
3;2,178;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;20;;1;;1;2
6;5,845;0;0;The reward (in euro) is two times the outcome of the dice roll.;16;Strongly believe;Do not believe;1;20;;1;;1;2
5;5,252;0;1;The reward (in euro) is two times the outcome of the dice roll.;3;Believe;Do not believe;2;22;;1;;1;2
2;1,696;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Believe;Strongly do not believe;2;18;1;;1;;2
5;1,926;0;1;The reward (in euro) is equal to the outcome of the dice roll.;20;Strongly believe;Strongly believe;2;21;;1;;1;2
6;7,497;0;1;The reward (in euro) is two times the outcome of the dice roll.;40;Strongly believe;Strongly believe;1;22;1;;1;;2
1;8,106;0;0;The reward (in euro) is two times the outcome of the dice roll.;8;Believe;Believe;1;19;;1;;1;2
1;8,825;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Neutral;1;19;;1;;1;2
6;9,56;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Do not believe;Believe;1;18;1;;1;;2
1;4,013;0;1;The reward (in euro) is equal to the outcome of the dice roll.;1;Strongly believe;Do not believe;1;20;;1;;1;2
6;5,74;0;1;The reward (in euro) is two times the outcome of the dice roll.;47;Believe;Believe;2;19;1;;1;;2
2;6,045;0;1;The reward (in euro) is two times the outcome of the dice roll.;16;Strongly believe;Believe;2;24;;1;;1;5
2;8,45;0;0;The reward (in euro) is two times the outcome of the dice roll.;13;Strongly believe;Neutral;1;20;;1;;1;9
1;8,218;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;20;1;;1;;2
6;11,241;0;0;The reward (in euro) is two times the outcome of the dice roll.;8;Believe;Neutral;1;19;;1;;1;2
5;7,167;0;0;The reward (in euro) is two times the outcome of the dice roll.;39;Believe;Do not believe;1;18;;1;;1;2
3;6,185;0;0;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Strongly do not believe;1;19;;1;;1;2
5;13,188;0;0;The reward (in euro) is two times the outcome of the dice roll.;16;Neutral;Neutral;1;19;;1;;1;2
4;8,047;0;0;The reward (in euro) is two times the outcome of the dice roll.;4;Strongly believe;Do not believe;1;21;;1;;1;2
3;15,662;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Believe;2;26;;1;;1;5
3;6,749;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Believe;1;18;1;;1;;2
3;9,552;0;0;The reward (in euro) is two times the outcome of the dice roll.;60;Strongly believe;Strongly do not believe;1;20;;1;;1;2
5;3,748;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Believe;Neutral;3;20;;1;;1;9
5;6,11;0;1;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;19;;1;;1;2
4;7,27;0;0;The reward (in euro) is half of the outcome of the dice roll.;94;Strongly believe;Strongly do not believe;1;20;;1;;1;2
4;5,336;0;0;The reward (in euro) is half of the outcome of the dice roll.;100;Strongly do not believe;Believe;1;20;1;;1;;2
3;5,665;0;1;The reward (in euro) is two times the outcome of the dice roll.;90;Strongly believe;Strongly believe;1;18;;1;;1;2
4;3,719;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Do not believe;2;18;;1;;1;2
1;6,094;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly believe;2;19;1;1;1;;3
3;7,919;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Do not believe;2;20;;1;;1;2
5;10,135;0;0;The reward (in euro) is four times the outcome of the dice roll.;20;Strongly believe;Believe;1;19;;1;;1;2
4;5,598;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Believe;Believe;1;18;;1;;1;2
5;16,878;0;0;The reward (in euro) is equal to the outcome of the dice roll.;5;Believe;Strongly do not believe;1;20;;1;;1;2
4;7,695;0;1;The reward (in euro) is two times the outcome of the dice roll.;31;Strongly believe;Do not believe;2;18;;1;;1;2
2;5,499;0;1;The reward (in euro) is two times the outcome of the dice roll.;30;Strongly believe;Strongly believe;1;19;;1;;1;2
2;3,571;0;1;The reward (in euro) is two times the outcome of the dice roll.;40;Strongly believe;Do not believe;1;20;;1;;1;2
4;5,065;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Strongly believe;1;20;;1;;1;2
4;1,312;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Believe;Do not believe;1;19;;1;;1;2
5;7,547;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Strongly believe;2;22;;1;;1;5
4;5,157;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;2;20;1;1;1;;2
6;5,25;0;1;The reward (in euro) is two times the outcome of the dice roll.;51;Strongly believe;Believe;1;18;;1;;1;2
3;7,62;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Do not believe;2;19;1;;1;;2
4;7,869;0;0;The reward (in euro) is two times the outcome of the dice roll.;17;Believe;Neutral;1;18;1;1;1;1;2
4;6,575;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Neutral;Do not believe;2;19;;1;;1;2
3;4,95;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Believe;1;19;;1;;1;2
5;11,259;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Neutral;2;20;;1;;1;2
5;6,363;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Strongly believe;Strongly believe;1;20;;1;;1;3
5;4,679;0;1;The reward (in euro) is two times the outcome of the dice roll.;2;Neutral;Do not believe;1;22;;1;;1;2
3;4,767;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Neutral;1;22;;1;;1;2
6;6,094;0;1;The reward (in euro) is two times the outcome of the dice roll.;62;Believe;Neutral;1;21;;1;;1;2
3;8,472;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Neutral;1;19;1;1;1;;2
5;11,748;0;0;The reward (in euro) is two times the outcome of the dice roll.;17;Strongly believe;Do not believe;2;19;1;;1;;2
2;5,076;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Neutral;Neutral;2;20;;1;;1;2
3;21,435;0;0;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Do not believe;1;18;;1;;1;2
6;8,987;1;1;The reward (in euro) is two times the outcome of the dice roll.;3;Believe;Believe;1;19;1;;1;;2
5;10,414;0;0;The reward (in euro) is equal to the outcome of the dice roll.;46;Strongly believe;Strongly believe;1;19;1;;1;;2
6;15,134;0;0;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Neutral;1;26;;1;;1;5
1;4,902;0;1;The reward (in euro) is two times the outcome of the dice roll.;16;Strongly believe;Do not believe;1;19;;1;;1;2
2;9,565;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Believe;Believe;1;19;;1;;1;2
3;11,622;0;0;The reward (in euro) is two times the outcome of the dice roll.;6;Strongly believe;Believe;1;19;;1;;1;2
6;10,57;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Neutral;2;18;;1;;1;2
3;8,925;1;1;The reward (in euro) is two times the outcome of the dice roll.;0;Believe;Strongly do not believe;1;18;1;1;1;;2
1;8,552;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Neutral;2;18;;1;;1;2
2;5,299;0;1;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;1;18;1;;1;;2
2;22,032;0;0;The reward (in euro) is equal to the outcome of the dice roll.;11;Strongly believe;Believe;1;19;;1;;1;2
5;4,214;0;1;The reward (in euro) is two times the outcome of the dice roll.;4;Believe;Do not believe;1;19;;1;;1;2
1;5,707;0;0;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Strongly do not believe;1;20;1;;1;;2
1;5,698;0;1;The reward (in euro) is half of the outcome of the dice roll.;50;Strongly believe;Neutral;1;20;;1;;1;2
5;9,769;0;0;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Believe;1;18;;1;;1;2
2;5,804;0;1;The reward (in euro) is two times the outcome of the dice roll.;25;Do not believe;Neutral;2;18;;1;;1;2
6;5,144;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Neutral;2;21;;1;;1;2
6;5,208;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Believe;Neutral;1;19;;1;;1;2
5;7,447;0;0;The reward (in euro) is two times the outcome of the dice roll.;16;Strongly believe;Neutral;2;21;;1;;1;2
2;14,463;1;1;The reward (in euro) is two times the outcome of the dice roll.;50;Neutral;Neutral;1;26;;1;;1;5
6;6,166;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Neutral;1;19;;1;;1;2
6;7,593;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Do not believe;2;21;1;1;1;;9
1;9,622;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Neutral;1;18;;1;;1;2
6;1,834;0;0;The reward (in euro) is two times the outcome of the dice roll.;12;Strongly believe;Neutral;2;20;;1;;1;2
1;6,718;0;0;The reward (in euro) is two times the outcome of the dice roll.;25;Believe;Neutral;1;19;;1;;1;2
6;9,233;1;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly believe;2;20;;1;;1;2
2;5,893;0;1;The reward (in euro) is two times the outcome of the dice roll.;18;Believe;Neutral;1;18;;1;;1;2
5;7,461;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Neutral;1;19;;1;;1;2
6;4,206;0;1;The reward (in euro) is two times the outcome of the dice roll.;2;Neutral;Neutral;1;19;;1;;1;2
4;5,111;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Neutral;1;20;;1;;1;2
3;9,273;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly do not believe;Neutral;1;19;1;;1;;2
1;3,759;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Believe;Believe;2;21;;1;;1;2
4;5,513;0;1;The reward (in euro) is two times the outcome of the dice roll.;13;Believe;Neutral;1;18;;1;;1;3
4;12,113;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Neutral;Do not believe;2;20;;1;;1;2
4;6,585;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;1;19;;1;;1;2
4;9,427;1;1;The reward (in euro) is two times the outcome of the dice roll.;2;Believe;Strongly do not believe;1;21;1;;1;;3
5;1,776;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Believe;1;20;;1;;1;2
1;3,588;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Strongly do not believe;2;21;;1;;1;2
3;6,428;0;0;The reward (in euro) is equal to the outcome of the dice roll.;30;Strongly believe;Strongly believe;1;23;;1;;1;5
2;6,437;0;0;The reward (in euro) is two times the outcome of the dice roll.;13;Strongly do not believe;Neutral;1;18;;1;;1;2
6;13,966;0;0;The reward (in euro) is equal to the outcome of the dice roll.;19;Neutral;Do not believe;1;20;1;1;;1;2
2;4,106;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Neutral;2;20;;1;;1;2
2;5,109;0;1;The reward (in euro) is two times the outcome of the dice roll.;19;Strongly believe;Neutral;1;20;;1;;1;2
6;13,332;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Neutral;1;19;;1;;1;2
6;7,795;0;0;The reward (in euro) is equal to the outcome of the dice roll.;12;Strongly believe;Do not believe;1;19;1;;1;;2
4;6,102;0;1;The reward (in euro) is two times the outcome of the dice roll.;25;Strongly believe;Believe;1;18;;1;;1;2
1;5,345;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Strongly believe;Neutral;1;21;;1;;1;2
6;7,723;0;1;The reward (in euro) is two times the outcome of the dice roll.;8;Strongly believe;Strongly do not believe;1;19;;1;;1;2
3;10,479;1;1;The reward (in euro) is two times the outcome of the dice roll.;8;Strongly believe;Neutral;1;18;1;;1;;2
6;2,212;0;0;The reward (in euro) is two times the outcome of the dice roll.;60;Strongly believe;Believe;1;19;;1;;1;2
3;1,105;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Neutral;Neutral;1;18;;1;;1;2
6;5,25;0;1;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;19;;1;;1;2
3;1,586;0;1;The reward (in euro) is equal to the outcome of the dice roll.;0;Neutral;Neutral;2;30;1;1;1;;3
1;5,893;0;1;The reward (in euro) is two times the outcome of the dice roll.;0;Neutral;Do not believe;1;17;;1;;1;2
3;6,937;0;0;The reward (in euro) is two times the outcome of the dice roll.;25;Believe;Neutral;1;20;;1;;1;2
1;6,683;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Strongly believe;1;22;;1;;1;2
1;7,641;0;0;The reward (in euro) is two times the outcome of the dice roll.;17;Strongly believe;Do not believe;2;19;1;;1;;2
6;8,371;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Neutral;3;19;;1;;1;2
5;6,018;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Neutral;1;28;;1;;1;5
5;4,03;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Believe;1;18;;1;;1;2
6;10,118;1;1;The reward (in euro) is two times the outcome of the dice roll.;16;Strongly believe;Believe;1;19;;1;;1;2
6;6,224;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Believe;Do not believe;2;18;1;;1;;2
4;8,865;0;0;The reward (in euro) is two times the outcome of the dice roll.;16;Believe;Believe;1;22;;1;;1;3
5;6,465;0;1;The reward (in euro) is two times the outcome of the dice roll.;12;Neutral;Neutral;2;20;;1;;1;2
2;13,044;0;0;The reward (in euro) is equal to the outcome of the dice roll.;10;Neutral;Believe;2;18;;1;;1;2
5;2,386;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Strongly believe;1;19;;1;;1;2
2;13,524;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Believe;Strongly do not believe;2;28;;1;;1;2
3;4,578;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly believe;1;19;;1;;1;5
4;9,384;0;0;The reward (in euro) is two times the outcome of the dice roll.;14;Do not believe;Do not believe;2;22;1;;1;;2
2;4,998;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Do not believe;1;18;;1;;1;2
4;5,675;0;1;The reward (in euro) is equal to the outcome of the dice roll.;50;Strongly believe;Strongly do not believe;1;19;;1;;1;2
3;6,895;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;19;1;1;1;1;3
5;3,862;0;1;The reward (in euro) is two times the outcome of the dice roll.;40;Believe;Believe;1;18;1;;1;;2
6;2,228;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Neutral;Believe;2;19;1;;1;;1
3;3,633;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Do not believe;Believe;1;18;;1;;1;2
2;8,202;0;0;The reward (in euro) is two times the outcome of the dice roll.;12;Neutral;Strongly believe;1;20;;1;;1;2
5;19,246;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Do not believe;1;18;;1;;1;2
5;5,068;0;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Strongly do not believe;2;26;1;;1;;3
6;5,431;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Neutral;1;18;;1;;1;2
1;13,171;0;0;The reward (in euro) is two times the outcome of the dice roll.;3;Strongly believe;Do not believe;3;20;1;;1;;2
5;1,949;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Strongly believe;1;19;;1;;1;3
6;6,585;0;1;The reward (in euro) is two times the outcome of the dice roll.;6;Strongly believe;Neutral;1;19;1;;1;;2
6;1,877;0;0;The reward (in euro) is two times the outcome of the dice roll.;4;Strongly believe;Strongly do not believe;1;22;1;;1;;5
6;1,946;0;0;The reward (in euro) is two times the outcome of the dice roll.;83;Strongly believe;Believe;1;18;;1;;1;2
6;5,782;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Believe;1;18;;1;;1;2
4;5,743;0;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Neutral;1;18;1;;1;;2
2;8,599;0;0;The reward (in euro) is two times the outcome of the dice roll.;51;Neutral;Believe;1;18;;1;;1;2
3;5,001;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Believe;Do not believe;1;20;1;;1;;2
1;6,195;0;1;The reward (in euro) is two times the outcome of the dice roll.;31;Strongly believe;Do not believe;1;19;;1;;1;2
3;5,712;0;1;The reward (in euro) is equal to the outcome of the dice roll.;70;Believe;Neutral;2;19;;1;;1;2
6;5,534;0;0;The reward (in euro) is two times the outcome of the dice roll.;23;Believe;Do not believe;1;19;;1;;1;2
3;7,992;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Believe;Do not believe;1;19;;1;;1;2
2;8,191;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Neutral;Neutral;2;21;;1;;1;2
4;5,864;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Do not believe;2;39;;1;;1;8
4;2,379;0;0;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Believe;1;24;;1;;1;5
1;12,323;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Strongly do not believe;1;18;;1;;1;2
1;2,827;0;0;The reward (in euro) is two times the outcome of the dice roll.;6;Strongly believe;Believe;1;19;;1;;1;2
3;2,098;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;1;20;;1;;1;2
4;9,639;0;0;The reward (in euro) is equal to the outcome of the dice roll.;20;Do not believe;Neutral;1;20;;1;;1;2
2;14,537;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Do not believe;Strongly do not believe;1;18;;1;;1;2
1;14,205;1;1;The reward (in euro) is equal to the outcome of the dice roll.;51;Believe;Do not believe;1;21;1;1;1;1;3
6;4,423;0;1;The reward (in euro) is two times the outcome of the dice roll.;90;Strongly believe;Do not believe;1;18;1;;1;;2
4;1,961;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly believe;1;18;;1;;1;2
6;4,531;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Believe;Do not believe;2;19;;1;;1;2
2;7,554;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Do not believe;2;18;;1;;1;2
5;7,066;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly do not believe;Believe;1;24;;1;;1;3
5;3,508;0;0;The reward (in euro) is two times the outcome of the dice roll.;33;Strongly believe;Neutral;2;23;;1;;1;5
3;5,931;0;0;The reward (in euro) is two times the outcome of the dice roll.;9;Strongly believe;Do not believe;1;21;;1;;1;3
5;2,748;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Neutral;1;19;;1;;1;2
3;7,992;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Believe;1;19;;1;;1;2
1;12,909;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Do not believe;Neutral;2;20;1;1;1;1;2
1;5,032;0;0;The reward (in euro) is four times the outcome of the dice roll.;15;Strongly believe;Believe;2;20;1;;1;;2
2;2,191;0;0;The reward (in euro) is equal to the outcome of the dice roll.;18;Neutral;Believe;1;20;;1;;1;2
5;30,647;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Do not believe;1;21;1;;1;;2
5;4,061;0;1;The reward (in euro) is two times the outcome of the dice roll.;8;Strongly believe;Do not believe;1;19;;1;;1;3
3;8,464;1;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Do not believe;1;20;;1;;1;2
4;8,672;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Believe;1;19;;1;;1;2
5;6,97;0;0;The reward (in euro) is two times the outcome of the dice roll.;11;Strongly believe;Strongly do not believe;2;18;;1;;1;2
5;4,01;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Neutral;1;18;;1;;1;2
6;12,024;0;0;The reward (in euro) is two times the outcome of the dice roll.;23;Strongly do not believe;Neutral;1;23;;1;;1;2
5;5,052;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Strongly do not believe;1;18;1;;1;;2
4;9,551;0;0;The reward (in euro) is two times the outcome of the dice roll.;4;Believe;Strongly do not believe;1;18;;1;;1;2
2;7,886;0;0;The reward (in euro) is two times the outcome of the dice roll.;6;Believe;Strongly do not believe;1;21;1;1;1;;2
5;3,602;0;1;The reward (in euro) is two times the outcome of the dice roll.;3;Believe;Do not believe;1;19;;1;;1;2
4;9,51;0;0;The reward (in euro) is two times the outcome of the dice roll.;40;Strongly believe;Believe;1;25;;1;;1;2
6;5,788;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Do not believe;2;20;;1;;1;2
2;5,966;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly do not believe;2;29;;1;;1;5
4;8,597;0;0;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Do not believe;2;20;;1;;1;2
4;6,993;0;0;The reward (in euro) is two times the outcome of the dice roll.;9;Neutral;Do not believe;1;22;1;1;;1;2
5;8,622;0;0;The reward (in euro) is equal to the outcome of the dice roll.;50;Strongly believe;Neutral;1;18;1;1;1;1;2
5;4,429;0;1;The reward (in euro) is equal to the outcome of the dice roll.;10;Strongly believe;Neutral;1;21;;1;;1;2
1;2,131;0;0;The reward (in euro) is two times the outcome of the dice roll.;6;Strongly believe;Neutral;1;20;;1;;1;2
1;5,299;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Believe;Believe;1;18;;1;;1;2
1;9,508;1;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Believe;1;22;;1;;1;2
3;7,594;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Neutral;1;18;;1;;1;5
1;91,677;0;0;The reward (in euro) is two times the outcome of the dice roll.;3;Strongly believe;Strongly believe;1;21;;1;;1;2
2;6,161;0;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Neutral;2;23;;1;;1;2
6;5,821;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Strongly believe;1;19;;1;;1;2
1;5,836;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Strongly believe;2;19;;1;;1;2
3;7,282;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Believe;Strongly do not believe;1;19;1;;1;;2
