Gender;Time_pressure;Experiment;Dice_report;Report_time;Within_time;Cheerful;active;active2;happy;loving;worried;tired;tired2;angry;calm;gloomy;bored;sad;tense;angry2;satisfied;pos_mood;neg_mood;filter_$
1.00;1.00;2.00;5.00;1.52;1.00;2.00;2.00;1.00;4.00;3.00;1.00;3.00;5.00;1.00;2.00;1.00;1.00;1.00;2.00;1.00;4.00;2.57;1.78;1
2.00;1.00;2.00;5.00;7.46;1.00;2.00;1.00;3.00;4.00;3.00;4.00;5.00;5.00;1.00;2.00;2.00;1.00;1.00;3.00;1.00;4.00;2.71;2.56;1
2.00;1.00;2.00;6.00;5.26;1.00;2.00;2.00;2.00;3.00;2.00;4.00;5.00;5.00;5.00;2.00;3.00;3.00;3.00;5.00;4.00;1.00;2.00;4.11;1
1.00;1.00;2.00;1.00;5.20;1.00;3.00;3.00;3.00;4.00;3.00;1.00;1.00;2.00;2.00;4.00;1.00;1.00;1.00;1.00;2.00;4.00;3.43;1.33;1
1.00;1.00;2.00;1.00;4.54;1.00;3.00;3.00;1.00;3.00;3.00;1.00;1.00;2.00;1.00;4.00;2.00;2.00;1.00;1.00;1.00;2.00;2.71;1.33;1
2.00;1.00;2.00;1.00;5.00;1.00;3.00;2.00;4.00;4.00;5.00;1.00;1.00;1.00;1.00;3.00;1.00;1.00;1.00;1.00;1.00;4.00;3.57;1.00;1
2.00;1.00;2.00;3.00;4.39;1.00;3.00;2.00;2.00;3.00;4.00;1.00;3.00;3.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;3.00;3.00;1.56;1
1.00;1.00;2.00;4.00;2.19;1.00;3.00;3.00;3.00;4.00;4.00;1.00;1.00;2.00;1.00;4.00;1.00;2.00;1.00;2.00;1.00;4.00;3.57;1.33;1
1.00;1.00;2.00;4.00;6.45;1.00;3.00;3.00;3.00;3.00;3.00;2.00;3.00;2.00;2.00;5.00;3.00;3.00;3.00;1.00;2.00;3.00;3.29;2.33;1
1.00;1.00;2.00;4.00;5.76;1.00;3.00;4.00;4.00;3.00;2.00;1.00;1.00;1.00;1.00;5.00;1.00;2.00;1.00;1.00;1.00;3.00;3.43;1.11;1
1.00;1.00;2.00;5.00;3.78;1.00;3.00;3.00;3.00;3.00;3.00;1.00;2.00;2.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;3.00;3.14;1.33;1
1.00;1.00;2.00;5.00;4.65;1.00;3.00;3.00;4.00;4.00;5.00;2.00;2.00;2.00;2.00;5.00;2.00;2.00;1.00;1.00;2.00;4.00;4.00;1.78;1
2.00;1.00;2.00;5.00;2.29;1.00;3.00;3.00;4.00;4.00;4.00;1.00;2.00;3.00;2.00;5.00;2.00;2.00;2.00;1.00;2.00;4.00;3.86;1.89;1
2.00;1.00;2.00;5.00;3.92;1.00;3.00;3.00;4.00;4.00;3.00;4.00;1.00;1.00;1.00;2.00;1.00;4.00;1.00;2.00;1.00;4.00;3.29;1.78;1
1.00;1.00;2.00;6.00;2.27;1.00;3.00;4.00;3.00;4.00;4.00;1.00;2.00;2.00;2.00;5.00;1.00;3.00;1.00;1.00;1.00;3.00;3.71;1.56;1
1.00;1.00;2.00;6.00;4.85;1.00;3.00;2.00;2.00;3.00;4.00;4.00;4.00;1.00;1.00;3.00;2.00;4.00;3.00;1.00;2.00;4.00;3.00;2.44;1
2.00;1.00;2.00;6.00;7.14;1.00;3.00;3.00;3.00;3.00;4.00;3.00;2.00;3.00;3.00;2.00;2.00;4.00;3.00;3.00;3.00;2.00;2.86;2.89;1
1.00;1.00;2.00;2.00;2.86;1.00;4.00;3.00;4.00;4.00;3.00;2.00;3.00;3.00;1.00;5.00;1.00;3.00;1.00;1.00;4.00;4.00;3.86;2.11;1
2.00;1.00;2.00;2.00;5.75;1.00;4.00;4.00;4.00;5.00;3.00;2.00;1.00;1.00;1.00;5.00;1.00;1.00;1.00;1.00;1.00;5.00;4.29;1.11;1
2.00;1.00;2.00;3.00;5.23;1.00;4.00;3.00;4.00;4.00;1.00;1.00;1.00;1.00;1.00;4.00;1.00;1.00;2.00;1.00;1.00;3.00;3.29;1.11;1
2.00;1.00;2.00;3.00;1.61;1.00;4.00;3.00;4.00;4.00;5.00;2.00;2.00;2.00;3.00;3.00;2.00;2.00;1.00;2.00;2.00;3.00;3.71;2.00;1
2.00;1.00;2.00;4.00;6.51;1.00;4.00;4.00;4.00;4.00;3.00;1.00;1.00;1.00;1.00;4.00;1.00;1.00;1.00;3.00;1.00;4.00;3.86;1.22;1
2.00;1.00;2.00;5.00;6.34;1.00;4.00;3.00;3.00;3.00;3.00;2.00;4.00;4.00;3.00;3.00;2.00;2.00;2.00;3.00;3.00;3.00;3.14;2.78;1
2.00;1.00;2.00;5.00;2.25;1.00;4.00;3.00;4.00;4.00;3.00;4.00;3.00;3.00;2.00;2.00;2.00;3.00;1.00;3.00;2.00;3.00;3.29;2.56;1
2.00;1.00;2.00;5.00;4.90;1.00;4.00;3.00;4.00;3.00;3.00;2.00;4.00;4.00;1.00;4.00;3.00;3.00;3.00;1.00;2.00;4.00;3.57;2.56;1
2.00;1.00;2.00;5.00;3.83;1.00;4.00;3.00;3.00;4.00;5.00;1.00;5.00;5.00;2.00;4.00;1.00;1.00;1.00;1.00;1.00;5.00;4.00;2.00;1
2.00;1.00;2.00;6.00;7.09;1.00;4.00;4.00;4.00;4.00;3.00;1.00;1.00;4.00;1.00;3.00;1.00;2.00;1.00;2.00;1.00;4.00;3.71;1.56;1
2.00;1.00;2.00;3.00;7.43;1.00;5.00;2.00;4.00;5.00;5.00;1.00;3.00;2.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;5.00;4.29;1.44;1
2.00;1.00;2.00;6.00;4.23;1.00;5.00;5.00;5.00;5.00;5.00;1.00;1.00;1.00;1.00;5.00;1.00;3.00;1.00;3.00;1.00;4.00;4.86;1.44;1
1.00;1.00;2.00;6.00;3.28;1.00;5.00;5.00;4.00;5.00;5.00;1.00;1.00;3.00;1.00;5.00;1.00;2.00;1.00;1.00;1.00;5.00;4.86;1.33;1
2.00;1.00;2.00;6.00;4.60;1.00;5.00;4.00;4.00;3.00;4.00;4.00;3.00;4.00;4.00;1.00;2.00;4.00;3.00;4.00;4.00;2.00;3.29;3.56;1
